GroupID,Category,Term,Description,LogP,Log(q-value),InTerm_InList,Genes,Symbols
1_Member,GO Biological Processes,GO:0070059,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,-4.7575079,-1.901,3/33,"581,8795,27113","BAX,TNFRSF10B,BBC3"
1_Member,GO Biological Processes,GO:0045862,positive regulation of proteolysis,-4.702915325,-1.860,6/369,"355,581,5118,27113,55367,64065","FAS,BAX,PCOLCE,BBC3,PIDD1,PERP"
1_Member,GO Biological Processes,GO:0008625,extrinsic apoptotic signaling pathway via death domain receptors,-4.642074398,-1.825,3/36,"581,8795,55367","BAX,TNFRSF10B,PIDD1"
1_Member,GO Biological Processes,GO:0051345,positive regulation of hydrolase activity,-4.604236806,-1.801,7/576,"355,581,5118,27113,55367,57822,64065","FAS,BAX,PCOLCE,BBC3,PIDD1,GRHL3,PERP"
1_Member,GO Biological Processes,GO:2000116,regulation of cysteine-type endopeptidase activity,-4.592789155,-1.801,5/229,"355,581,27113,55367,64065","FAS,BAX,BBC3,PIDD1,PERP"
1_Member,GO Biological Processes,GO:0043280,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,-4.398991158,-1.631,4/125,"355,581,27113,55367","FAS,BAX,BBC3,PIDD1"
1_Member,WikiPathways,WP1971,Integrated cancer pathway,-4.319133953,-1.562,3/46,"581,1026,27113","BAX,CDKN1A,BBC3"
1_Member,GO Biological Processes,GO:0090199,regulation of release of cytochrome c from mitochondria,-4.290951966,-1.556,3/47,"581,4000,27113","BAX,LMNA,BBC3"
1_Member,GO Biological Processes,GO:0052547,regulation of peptidase activity,-4.190882972,-1.489,6/456,"355,581,5118,27113,55367,64065","FAS,BAX,PCOLCE,BBC3,PIDD1,PERP"
1_Member,Canonical Pathways,M220,PID CASPASE PATHWAY,-4.184136474,-1.489,3/51,"581,4000,55367","BAX,LMNA,PIDD1"
1_Member,Reactome Gene Sets,R-HSA-5218859,Regulated Necrosis,-4.039225369,-1.363,3/57,"355,581,8795","FAS,BAX,TNFRSF10B"
1_Member,WikiPathways,WP4396,Nonalcoholic fatty liver disease,-3.982391708,-1.325,4/160,"355,581,27113,125965","FAS,BAX,BBC3,COX6B2"
1_Member,GO Biological Processes,GO:0071214,cellular response to abiotic stimulus,-3.937404188,-1.297,5/315,"355,581,1026,4313,8795","FAS,BAX,CDKN1A,MMP2,TNFRSF10B"
1_Member,GO Biological Processes,GO:0104004,cellular response to environmental stimulus,-3.937404188,-1.297,5/315,"355,581,1026,4313,8795","FAS,BAX,CDKN1A,MMP2,TNFRSF10B"
1_Member,KEGG Pathway,hsa05164,Influenza A,-3.871126372,-1.239,4/171,"355,581,3383,8795","FAS,BAX,ICAM1,TNFRSF10B"
1_Member,GO Biological Processes,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,-3.810614665,-1.187,3/68,"581,1026,23612","BAX,CDKN1A,PHLDA3"
1_Member,WikiPathways,WP4216,Chromosomal and microsatellite instability in colorectal cancer,-3.701631256,-1.086,3/74,"581,1026,27113","BAX,CDKN1A,BBC3"
1_Member,KEGG Pathway,hsa05167,Kaposi sarcoma-associated herpesvirus infection,-3.661155321,-1.053,4/194,"355,581,1026,3383","FAS,BAX,CDKN1A,ICAM1"
1_Member,GO Biological Processes,GO:0006919,activation of cysteine-type endopeptidase activity involved in apoptotic process,-3.650540468,-1.051,3/77,"581,27113,55367","BAX,BBC3,PIDD1"
1_Member,GO Biological Processes,GO:2001233,regulation of apoptotic signaling pathway,-3.612872622,-1.028,5/370,"355,581,3383,4000,27113","FAS,BAX,ICAM1,LMNA,BBC3"
1_Member,KEGG Pathway,hsa05169,Epstein-Barr virus infection,-3.594271602,-1.017,4/202,"355,581,1026,3383","FAS,BAX,CDKN1A,ICAM1"
1_Member,GO Biological Processes,GO:0043281,regulation of cysteine-type endopeptidase activity involved in apoptotic process,-3.577991648,-1.008,4/204,"355,581,27113,55367","FAS,BAX,BBC3,PIDD1"
1_Member,Canonical Pathways,M115,PID REG GR PATHWAY,-3.569829618,-1.007,3/82,"581,1026,3383","BAX,CDKN1A,ICAM1"
1_Member,KEGG Pathway,hsa05210,Colorectal cancer,-3.508871364,-0.953,3/86,"581,1026,27113","BAX,CDKN1A,BBC3"
1_Member,KEGG Pathway,hsa05417,Lipid and atherosclerosis,-3.491394303,-0.950,4/215,"355,581,3383,8795","FAS,BAX,ICAM1,TNFRSF10B"
1_Member,GO Biological Processes,GO:0034976,response to endoplasmic reticulum stress,-3.461073664,-0.933,4/219,"581,8795,27113,83667","BAX,TNFRSF10B,BBC3,SESN2"
1_Member,GO Biological Processes,GO:0034644,cellular response to UV,-3.450802042,-0.929,3/90,"581,1026,4313","BAX,CDKN1A,MMP2"
1_Member,KEGG Pathway,hsa01522,Endocrine resistance,-3.342345546,-0.827,3/98,"581,1026,4313","BAX,CDKN1A,MMP2"
1_Member,GO Biological Processes,GO:0052548,regulation of endopeptidase activity,-3.332748853,-0.824,5/426,"355,581,27113,55367,64065","FAS,BAX,BBC3,PIDD1,PERP"
1_Member,GO Biological Processes,GO:0071482,cellular response to light stimulus,-3.139785681,-0.667,3/115,"581,1026,4313","BAX,CDKN1A,MMP2"
1_Member,WikiPathways,WP710,DNA damage response (only ATM dependent),-3.139785681,-0.667,3/115,"581,1026,27113","BAX,CDKN1A,BBC3"
1_Member,GO Biological Processes,GO:0030162,regulation of proteolysis,-3.049021574,-0.593,6/745,"355,581,5118,27113,55367,64065","FAS,BAX,PCOLCE,BBC3,PIDD1,PERP"
1_Member,KEGG Pathway,hsa04650,Natural killer cell mediated cytotoxicity,-2.976046956,-0.531,3/131,"355,3383,8795","FAS,ICAM1,TNFRSF10B"
1_Member,GO Biological Processes,GO:2001235,positive regulation of apoptotic signaling pathway,-2.947704904,-0.519,3/134,"355,581,27113","FAS,BAX,BBC3"
1_Member,WikiPathways,WP4630,Measles virus infection,-2.910941679,-0.503,3/138,"355,581,27113","FAS,BAX,BBC3"
1_Member,KEGG Pathway,hsa05200,Pathways in cancer,-2.90376517,-0.503,5/531,"355,581,1026,4313,27113","FAS,BAX,CDKN1A,MMP2,BBC3"
1_Member,KEGG Pathway,hsa05162,Measles,-2.901926973,-0.503,3/139,"355,581,27113","FAS,BAX,BBC3"
1_Member,GO Biological Processes,GO:0009411,response to UV,-2.823759185,-0.435,3/148,"581,1026,4313","BAX,CDKN1A,MMP2"
1_Member,GO Biological Processes,GO:0010821,regulation of mitochondrion organization,-2.807073749,-0.423,3/150,"581,4000,27113","BAX,LMNA,BBC3"
1_Member,WikiPathways,WP4666,Hepatitis B infection,-2.774400783,-0.399,3/154,"355,581,1026","FAS,BAX,CDKN1A"
1_Member,KEGG Pathway,hsa04932,Non-alcoholic fatty liver disease,-2.766373499,-0.396,3/155,"355,581,125965","FAS,BAX,COX6B2"
1_Member,KEGG Pathway,hsa05160,Hepatitis C,-2.750482985,-0.385,3/157,"355,581,1026","FAS,BAX,CDKN1A"
1_Member,KEGG Pathway,hsa04217,Necroptosis,-2.734806564,-0.378,3/159,"355,581,8795","FAS,BAX,TNFRSF10B"
1_Member,KEGG Pathway,hsa05161,Hepatitis B,-2.711681627,-0.359,3/162,"355,581,1026","FAS,BAX,CDKN1A"
1_Member,GO Biological Processes,GO:0071478,cellular response to radiation,-2.588724081,-0.253,3/179,"581,1026,4313","BAX,CDKN1A,MMP2"
1_Member,KEGG Pathway,hsa05130,Pathogenic Escherichia coli infection,-2.471494614,-0.157,3/197,"355,581,8795","FAS,BAX,TNFRSF10B"
1_Member,KEGG Pathway,hsa05205,Proteoglycans in cancer,-2.423049569,-0.132,3/205,"355,1026,4313","FAS,CDKN1A,MMP2"
1_Member,GO Biological Processes,GO:0009611,response to wounding,-2.366656435,-0.083,4/435,"581,1026,4313,57822","BAX,CDKN1A,MMP2,GRHL3"
1_Member,KEGG Pathway,hsa05166,Human T-cell leukemia virus 1 infection,-2.326572763,-0.060,3/222,"581,1026,3383","BAX,CDKN1A,ICAM1"
1_Member,WikiPathways,WP5087,Malignant pleural mesothelioma,-2.324967343,-0.060,4/447,"581,1026,4313,27113","BAX,CDKN1A,MMP2,BBC3"
1_Member,GO Biological Processes,GO:0006974,cellular response to DNA damage stimulus,-2.320295833,-0.059,5/725,"581,1026,23612,55367,83667","BAX,CDKN1A,PHLDA3,PIDD1,SESN2"
1_Member,KEGG Pathway,hsa05163,Human cytomegalovirus infection,-2.310383015,-0.052,3/225,"355,581,1026","FAS,BAX,CDKN1A"
1_Member,GO Biological Processes,GO:2001234,negative regulation of apoptotic signaling pathway,-2.283915984,-0.033,3/230,"581,3383,4000","BAX,ICAM1,LMNA"
1_Member,GO Biological Processes,GO:0042110,T cell activation,-2.114662233,0.000,3/265,"581,3383,51043","BAX,ICAM1,ZBTB7B"
2_Summary,GO Biological Processes,GO:0008285,negative regulation of cell population proliferation,-6.628139616,-3.456,10/786,"240,581,941,1026,4000,5916,10669,51043,80781,127435","ALOX5,BAX,CD80,CDKN1A,LMNA,RARG,CGREF1,ZBTB7B,COL18A1,PODN"
2_Member,GO Biological Processes,GO:0008285,negative regulation of cell population proliferation,-6.628139616,-3.456,10/786,"240,581,941,1026,4000,5916,10669,51043,80781,127435","ALOX5,BAX,CD80,CDKN1A,LMNA,RARG,CGREF1,ZBTB7B,COL18A1,PODN"
3_Summary,Reactome Gene Sets,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,-4.648082865,-1.825,4/108,"240,1026,3383,4313,941,5778,83667","ALOX5,CDKN1A,ICAM1,MMP2,CD80,PTPN7,SESN2"
3_Member,Reactome Gene Sets,R-HSA-6785807,Interleukin-4 and Interleukin-13 signaling,-4.648082865,-1.825,4/108,"240,1026,3383,4313","ALOX5,CDKN1A,ICAM1,MMP2"
3_Member,Reactome Gene Sets,R-HSA-449147,Signaling by Interleukins,-4.15959877,-1.474,6/462,"240,941,1026,3383,4313,5778","ALOX5,CD80,CDKN1A,ICAM1,MMP2,PTPN7"
3_Member,Reactome Gene Sets,R-HSA-1280215,Cytokine Signaling in Immune system,-3.141660823,-0.667,6/715,"240,941,1026,3383,4313,5778","ALOX5,CD80,CDKN1A,ICAM1,MMP2,PTPN7"
3_Member,GO Biological Processes,GO:0042593,glucose homeostasis,-2.434966781,-0.136,3/203,"240,3383,83667","ALOX5,ICAM1,SESN2"
3_Member,GO Biological Processes,GO:0033500,carbohydrate homeostasis,-2.428992378,-0.134,3/204,"240,3383,83667","ALOX5,ICAM1,SESN2"
4_Summary,GO Biological Processes,GO:0030330,"DNA damage response, signal transduction by p53 class mediator",-4.438610845,-1.659,3/42,"1026,55367,83667,355,4000,8795,4313,445","CDKN1A,PIDD1,SESN2,FAS,LMNA,TNFRSF10B,MMP2,ASS1"
4_Member,GO Biological Processes,GO:0030330,"DNA damage response, signal transduction by p53 class mediator",-4.438610845,-1.659,3/42,"1026,55367,83667","CDKN1A,PIDD1,SESN2"
4_Member,GO Biological Processes,GO:0034198,cellular response to amino acid starvation,-4.290951966,-1.556,3/47,"355,1026,83667","FAS,CDKN1A,SESN2"
4_Member,GO Biological Processes,GO:1990928,response to amino acid starvation,-4.236411319,-1.512,3/49,"355,1026,83667","FAS,CDKN1A,SESN2"
4_Member,WikiPathways,WP236,Adipogenesis,-2.976046956,-0.531,3/131,"355,1026,4000","FAS,CDKN1A,LMNA"
4_Member,GO Biological Processes,GO:0042770,signal transduction in response to DNA damage,-2.957077109,-0.523,3/133,"1026,55367,83667","CDKN1A,PIDD1,SESN2"
4_Member,GO Biological Processes,GO:0071496,cellular response to external stimulus,-2.907979676,-0.503,4/308,"355,1026,8795,83667","FAS,CDKN1A,TNFRSF10B,SESN2"
4_Member,GO Biological Processes,GO:0009267,cellular response to starvation,-2.70407465,-0.356,3/163,"355,1026,83667","FAS,CDKN1A,SESN2"
4_Member,GO Biological Processes,GO:0042594,response to starvation,-2.459186697,-0.153,3/199,"355,1026,83667","FAS,CDKN1A,SESN2"
4_Member,GO Biological Processes,GO:0009612,response to mechanical stimulus,-2.434966781,-0.136,3/203,"355,4313,8795","FAS,MMP2,TNFRSF10B"
4_Member,GO Biological Processes,GO:0031669,cellular response to nutrient levels,-2.382309156,-0.095,3/212,"355,1026,83667","FAS,CDKN1A,SESN2"
4_Member,GO Biological Processes,GO:0031667,response to nutrient levels,-2.328392406,-0.060,4/446,"355,445,1026,83667","FAS,ASS1,CDKN1A,SESN2"
4_Member,GO Biological Processes,GO:0009991,response to extracellular stimulus,-2.219776626,0.000,4/479,"355,445,1026,83667","FAS,ASS1,CDKN1A,SESN2"
4_Member,GO Biological Processes,GO:0031668,cellular response to extracellular stimulus,-2.213027616,0.000,3/244,"355,1026,83667","FAS,CDKN1A,SESN2"
4_Member,GO Biological Processes,GO:0062197,cellular response to chemical stress,-2.105745482,0.000,3/267,"355,4313,83667","FAS,MMP2,SESN2"
5_Summary,WikiPathways,WP4754,IL-18 signaling pathway,-4.185059653,-1.489,5/279,"355,581,3383,4313,5778,5118,8038,80781,1397","FAS,BAX,ICAM1,MMP2,PTPN7,PCOLCE,ADAM12,COL18A1,CRIP2"
5_Member,WikiPathways,WP4754,IL-18 signaling pathway,-4.185059653,-1.489,5/279,"355,581,3383,4313,5778","FAS,BAX,ICAM1,MMP2,PTPN7"
5_Member,Reactome Gene Sets,R-HSA-1474244,Extracellular matrix organization,-4.029899573,-1.363,5/301,"3383,4313,5118,8038,80781","ICAM1,MMP2,PCOLCE,ADAM12,COL18A1"
5_Member,KEGG Pathway,hsa04933,AGE-RAGE signaling pathway in diabetic complications,-3.31667744,-0.814,3/100,"581,3383,4313","BAX,ICAM1,MMP2"
5_Member,WikiPathways,WP5055,Burn wound healing,-3.195915059,-0.705,3/110,"3383,4313,8038","ICAM1,MMP2,ADAM12"
5_Member,WikiPathways,WP3888,VEGFA-VEGFR2 signaling pathway,-2.352615925,-0.076,4/439,"355,1397,3383,4313","FAS,CRIP2,ICAM1,MMP2"
6_Summary,GO Biological Processes,GO:0071230,cellular response to amino acid stimulus,-3.617618665,-1.028,3/79,"445,4313,83667,3383,51043,581,5916,79041,355,941","ASS1,MMP2,SESN2,ICAM1,ZBTB7B,BAX,RARG,TMEM38A,FAS,CD80"
6_Member,GO Biological Processes,GO:0071230,cellular response to amino acid stimulus,-3.617618665,-1.028,3/79,"445,4313,83667","ASS1,MMP2,SESN2"
6_Member,GO Biological Processes,GO:0071229,cellular response to acid chemical,-3.465063031,-0.933,3/89,"445,4313,83667","ASS1,MMP2,SESN2"
6_Member,GO Biological Processes,GO:1901652,response to peptide,-3.26461061,-0.768,5/441,"445,3383,4313,51043,83667","ASS1,ICAM1,MMP2,ZBTB7B,SESN2"
6_Member,GO Biological Processes,GO:0043200,response to amino acid,-3.107325984,-0.640,3/118,"445,4313,83667","ASS1,MMP2,SESN2"
6_Member,GO Biological Processes,GO:0001101,response to acid chemical,-2.957077109,-0.523,3/133,"445,4313,83667","ASS1,MMP2,SESN2"
6_Member,KEGG Pathway,hsa05418,Fluid shear stress and atherosclerosis,-2.901926973,-0.503,3/139,"445,3383,4313","ASS1,ICAM1,MMP2"
6_Member,GO Biological Processes,GO:0001655,urogenital system development,-2.779020243,-0.399,4/334,"445,581,4313,5916","ASS1,BAX,MMP2,RARG"
6_Member,GO Biological Processes,GO:0071417,cellular response to organonitrogen compound,-2.73540404,-0.378,5/580,"445,3383,4313,79041,83667","ASS1,ICAM1,MMP2,TMEM38A,SESN2"
6_Member,GO Biological Processes,GO:1901699,cellular response to nitrogen compound,-2.550310339,-0.219,5/640,"445,3383,4313,79041,83667","ASS1,ICAM1,MMP2,TMEM38A,SESN2"
6_Member,GO Biological Processes,GO:0048732,gland development,-2.488393867,-0.166,4/402,"445,4313,5916,51043","ASS1,MMP2,RARG,ZBTB7B"
6_Member,GO Biological Processes,GO:0071345,cellular response to cytokine stimulus,-2.358487623,-0.079,5/710,"355,445,3383,4313,5916","FAS,ASS1,ICAM1,MMP2,RARG"
6_Member,GO Biological Processes,GO:0009636,response to toxic substance,-2.289158863,-0.035,3/229,"445,581,83667","ASS1,BAX,SESN2"
6_Member,GO Biological Processes,GO:0009725,response to hormone,-2.251472944,-0.011,5/753,"445,4313,5916,51043,83667","ASS1,MMP2,RARG,ZBTB7B,SESN2"
6_Member,GO Biological Processes,GO:0071396,cellular response to lipid,-2.14606166,0.000,4/503,"445,941,4313,5916","ASS1,CD80,MMP2,RARG"
7_Summary,WikiPathways,WP5098,T-cell activation SARS-CoV-2,-3.494093731,-0.950,3/87,"581,941,1026,445,4313,51043,240","BAX,CD80,CDKN1A,ASS1,MMP2,ZBTB7B,ALOX5"
7_Member,WikiPathways,WP5098,T-cell activation SARS-CoV-2,-3.494093731,-0.950,3/87,"581,941,1026","BAX,CD80,CDKN1A"
7_Member,GO Biological Processes,GO:0007162,negative regulation of cell adhesion,-2.923625726,-0.503,4/305,"445,941,4313,51043","ASS1,CD80,MMP2,ZBTB7B"
7_Member,GO Biological Processes,GO:1903038,negative regulation of leukocyte cell-cell adhesion,-2.857860146,-0.464,3/144,"445,941,51043","ASS1,CD80,ZBTB7B"
7_Member,GO Biological Processes,GO:1903037,regulation of leukocyte cell-cell adhesion,-2.643351376,-0.300,4/364,"240,445,941,51043","ALOX5,ASS1,CD80,ZBTB7B"
7_Member,GO Biological Processes,GO:0022408,negative regulation of cell-cell adhesion,-2.459186697,-0.153,3/199,"445,941,51043","ASS1,CD80,ZBTB7B"
7_Member,GO Biological Processes,GO:0050670,regulation of lymphocyte proliferation,-2.278697928,-0.031,3/231,"941,1026,51043","CD80,CDKN1A,ZBTB7B"
7_Member,GO Biological Processes,GO:0032944,regulation of mononuclear cell proliferation,-2.263190552,-0.019,3/234,"941,1026,51043","CD80,CDKN1A,ZBTB7B"
7_Member,GO Biological Processes,GO:0022407,regulation of cell-cell adhesion,-2.226111432,0.000,4/477,"240,445,941,51043","ALOX5,ASS1,CD80,ZBTB7B"
7_Member,GO Biological Processes,GO:0030155,regulation of cell adhesion,-2.174215036,0.000,5/786,"240,445,941,4313,51043","ALOX5,ASS1,CD80,MMP2,ZBTB7B"
7_Member,GO Biological Processes,GO:0070663,regulation of leukocyte proliferation,-2.160389576,0.000,3/255,"941,1026,51043","CD80,CDKN1A,ZBTB7B"
7_Member,GO Biological Processes,GO:1903039,positive regulation of leukocyte cell-cell adhesion,-2.114662233,0.000,3/265,"240,941,51043","ALOX5,CD80,ZBTB7B"
8_Summary,Canonical Pathways,M5884,NABA CORE MATRISOME,-3.090015102,-0.628,4/275,"5118,80781,127435,256158","PCOLCE,COL18A1,PODN,HMCN2"
8_Member,Canonical Pathways,M5884,NABA CORE MATRISOME,-3.090015102,-0.628,4/275,"5118,80781,127435,256158","PCOLCE,COL18A1,PODN,HMCN2"
9_Summary,GO Biological Processes,GO:0002064,epithelial cell development,-2.588724081,-0.253,3/179,"3383,5916,80781","ICAM1,RARG,COL18A1"
9_Member,GO Biological Processes,GO:0002064,epithelial cell development,-2.588724081,-0.253,3/179,"3383,5916,80781","ICAM1,RARG,COL18A1"
10_Summary,GO Biological Processes,GO:0016485,protein processing,-2.528599482,-0.202,3/188,"8532,55367,64065","CPZ,PIDD1,PERP"
10_Member,GO Biological Processes,GO:0016485,protein processing,-2.528599482,-0.202,3/188,"8532,55367,64065","CPZ,PIDD1,PERP"
10_Member,GO Biological Processes,GO:0051604,protein maturation,-2.151087673,0.000,3/257,"8532,55367,64065","CPZ,PIDD1,PERP"
11_Summary,GO Biological Processes,GO:0035239,tube morphogenesis,-2.484659902,-0.166,5/663,"581,4313,5916,57822,80781,8532","BAX,MMP2,RARG,GRHL3,COL18A1,CPZ"
11_Member,GO Biological Processes,GO:0035239,tube morphogenesis,-2.484659902,-0.166,5/663,"581,4313,5916,57822,80781","BAX,MMP2,RARG,GRHL3,COL18A1"
11_Member,GO Biological Processes,GO:0016055,Wnt signaling pathway,-2.12817775,0.000,3/262,"5916,8532,57822","RARG,CPZ,GRHL3"
11_Member,GO Biological Processes,GO:0090596,sensory organ morphogenesis,-2.12817775,0.000,3/262,"581,5916,57822","BAX,RARG,GRHL3"
11_Member,GO Biological Processes,GO:0198738,cell-cell signaling by wnt,-2.12817775,0.000,3/262,"5916,8532,57822","RARG,CPZ,GRHL3"
